libelle,longueur,position,fin,type,nom,champ,table,an,Typer,cla,z,rg,curseur
relation,1,112,112,c,RELATION,had,rapss,11,,,,,
Numéro de sousséquence,4,113,116,c,NOSOUSSEQ,had,rapss,11,,,,,
Mois de sortie de la sousséquence,2,117,118,c,MOIS_FIN_SS_SEQ,had,rapss,11,,,,,
Année de sortie de la sousséquence,4,119,122,c,AN_FIN_SS_SEQ,had,rapss,11,,,,,
Nombre de journées entre le début de la sousséquence et le début de la séquence,4,123,126,i,NB_JR_DB_SS_SEQ,had,rapss,11,,,,,
Nombre de journées de la sousséquence,4,127,130,i,DUREE_SS_SEQ,had,rapss,11,,,,,
Dernière sousséquence de la séquence,1,131,131,c,DER_SS_SEQ,had,rapss,11,,,,,
Dernière sousséquence du séjour,1,132,132,c,DER_SS_SEQ_SEJ,had,rapss,11,,,,,
Nombre de zones d'actes CCAM (NbZa),3,133,135,i,NBZA,had,rapss,11,,,,,
,,136,145,c,Z,had,rapss,11,,,,,
N° FINESS de l'entité juridique,9,1,9,c,NOFINESS,had,rapss_ano,11,,,,,
N° FINESS de l'établissement (code géographique),9,10,18,c,NOFINESS_GEO,had,rapss_ano,11,,,,,
N° format,3,19,21,c,NOFORMAT,had,rapss_ano,11,,,,,
N° format VID-HOSP,3,22,24,c,NOFORMHOSP,had,rapss_ano,11,,,,,
Mois de sortie,2,25,26,c,MOISSOR,had,rapss_ano,11,,,,,
Année de sortie,4,27,30,c,ANSOR,had,rapss_ano,11,,,,,
Code retour contrôle « n° sécurité sociale »,1,31,31,c,CRSECU,had,rapss_ano,11,,,,,
Code retour contrôle « date de  naissance »,1,32,32,c,CRDNAI,had,rapss_ano,11,,,,,
Code retour contrôle « sexe »,1,33,33,c,CRSEXE,had,rapss_ano,11,,,,,
Code retour contrôle « n° d’identification administratif de séjour »,1,34,34,c,CRNODA,had,rapss_ano,11,,,,,
Code retour « fusion ANO-HOSP et HOSP-PMSI »,1,35,35,c,CRFUSHOSP,had,rapss_ano,11,,,,,
Code retour « fusion ANO-PMSI et fichier PMSI »,1,36,36,c,CRFUSPMSI,had,rapss_ano,11,,,,,
Code retour contrôle « date de référence» (date d’entrée),1,37,37,c,CRDTENT,had,rapss_ano,11,,,,,
N° anonyme,17,38,54,c,NOANON,had,rapss_ano,11,,,,,
N° de séjour,5,55,59,i,NOSEJ,had,rapss_ano,11,,,,,
N° séquentiel de séjour HAD,5,60,64,c,NOSEQSEJ,had,rapss_ano,11,,,,,
Date d'entrée,8,65,72,c,DTENT,had,rapss_ano,11,,,,,
Date de sortie,8,73,80,c,DTSOR,had,rapss_ano,11,,,,,
Code retour contrôle « code grand régime »,1,81,81,c,CRCODEGR,had,rapss_ano,11,,,,,
Code retour contrôle « code justification d’exonération du ticket modérateur »,1,82,82,c,CREXTICM,had,rapss_ano,11,,,,,
Code retour contrôle « code de prise en charge du forfait journalier »,1,83,83,c,CRPRFOJO,had,rapss_ano,11,,,,,
Code retour contrôle « nature d’assurance »,1,84,84,c,CRNATASS,had,rapss_ano,11,,,,,
Code retour contrôle « type de contrat souscrit auprès d'un organisme complémentaire »,1,85,85,c,CRTYPECO,had,rapss_ano,11,,,,,
Code retour contrôle « séjour facturable à l’assurance maladie »,1,86,86,c,CRFACTAM,had,rapss_ano,11,,,,,
Code retour contrôle « motif de la non facturation à l'assurance maladie »,1,87,87,c,CRMOTNOFACT,had,rapss_ano,11,,,,,
Code retour contrôle « facturation du 18 euro »,1,88,88,c,CRTOP18,had,rapss_ano,11,,,,,
Code retour contrôle « nombre de venues de la facture »,1,89,89,c,CRNBEVEN,had,rapss_ano,11,,,,,
Code retour contrôle « montant à facturer au titre du ticket modérateur»,1,90,90,c,CRTICMOD,had,rapss_ano,11,,,,,
Code retour contrôle « montant à facturer au titre du forfait journalier »,1,91,91,c,CRFORJOU,had,rapss_ano,11,,,,,
Code retour contrôle « montant total du séjour remboursé par l’assurance maladie (i.e. hors prestations annexes »),1,92,92,c,CRFACTOT,had,rapss_ano,11,,,,,
Code retour contrôle « montant lié à la majoration au parcours de soin »,1,93,93,c,CRMAJPAR,had,rapss_ano,11,,,,,
Code retour contrôle « montant base remboursement »,1,94,94,c,CRMTBASE,had,rapss_ano,11,,,,,
Code retour contrôle « taux de remboursement »,1,95,95,c,CRTXRM,had,rapss_ano,11,,,,,
Code retour contrôle « Patient bénéficiaire de la CMU »,1,96,96,c,CRPBCMU,had,rapss_ano,11,,,,,
Filler,3,97,99,c,Filler,had,rapss_ano,11,,,,,
Code grand régime,2,100,101,c,CODEGR,had,rapss_ano,11,,,,,
Code justification d’exonération du ticket modérateur,1,102,102,c,JUSTICKMOD,had,rapss_ano,11,,,,,
Code de prise en charge du forfait journalier,1,103,103,c,CDPRFOJO,had,rapss_ano,11,,,,,
Nature d'assurance,2,104,105,c,NATASS,had,rapss_ano,11,,,,,
Type de contrat souscrit auprès d'un organisme complémentaire,2,106,107,c,TYPECONT,had,rapss_ano,11,,,,,
Séjour facturable à l’assurance maladie,1,108,108,c,FACTAM,had,rapss_ano,11,,,,,
Motif de la non facturation à l'assurance maladie,1,109,109,c,MOTNOFACT,had,rapss_ano,11,,,,,
Facturation du 18 euro,1,110,110,c,FACT18E,had,rapss_ano,11,,,,,
Nombre de venues de la facture,4,111,114,i,NBEVEN,had,rapss_ano,11,,,,,
Montant à facturer au titre du ticket modérateur,10,115,124,n,MTFACTMO,had,rapss_ano,11,,,,,
Montant à facturer au titre du forfait journalier,10,125,134,n,MTFORJOU,had,rapss_ano,11,,,,,
Montant total du séjour remboursé par l’assurance maladie (i.e. hors prestations annexes),10,135,144,n,MTFACTOT,had,rapss_ano,11,,,,,
Montant lié à la majoration au parcours de soins,4,145,148,n,MTMALPAR,had,rapss_ano,11,,,,,
Montant base remboursement,10,149,158,n,MTBASERM,had,rapss_ano,11,,,,,
Taux de remboursement,5,159,163,n,TAUXRM,had,rapss_ano,11,,,,,
Patient bénéficiaire de la CMU,1,164,164,c,PBCMU,had,rapss_ano,11,,,,,
Filler,34,165,198,c,Filler2,had,rapss_ano,11,,,,,
N° FINESS e-PMSI,9,1,9,c,NOFINESS,had,rapss_med,11,,,,,
Type de prestation,2,10,11,c,TYPEPREST,had,rapss_med,11,,,,,
Année période,4,12,15,c,ANNEE,had,rapss_med,11,,,,,
N° période (mois),2,16,17,c,MOIS,had,rapss_med,11,,,,,
Numéro séquentiel de séjour d'HAD,5,18,22,c,NOSEQSEJ,had,rapss_med,11,,,,,
Numéro de la séquence dans le séjour,4,23,26,c,NOSEQ,had,rapss_med,11,,,,,
Numéro de sousséquence,4,27,30,c,NOSOUSSEQ,had,rapss_med,11,,,,,
Nombre de séjours impliqués,6,31,36,i,NBSEJ,had,rapss_med,11,,,,,
Code UCD,9,37,45,c,CDUCD,had,rapss_med,11,,,,,
Nombre administré éventuellement fractionnaire,10,46,55,n,NBADM,had,rapss_med,11,,,,,
Prix d'achat multiplié par le nombre administré,10,56,65,n,PRIX,had,rapss_med,11,,,,,
Mois de la date d'administration,2,66,67,c,MOISADMIN,had,rapss_med,11,,,,,
Année de la date d'administration,4,68,71,c,ANADMIN,had,rapss_med,11,,,,,
Délai entre la date d’entrée du séjour et la date de dispensation,4,72,75,i,DELAI,had,rapss_med,11,,,,,
Filler,31,76,106,c,Filler,had,rapss_med,11,,,,,
Signature de version,8,1,,c,SIGNATURE,had,rpss_ano,11,,,,,
Cle dintegrite,8,9,,c,CLE,had,rpss_ano,11,,,,,
CR Contrôle n° immatriculation assuré,1,17,,c,CRSECU,had,rpss_ano,11,,,,,
CR Contrôle date de naissance,1,18,,c,CRDNAI,had,rpss_ano,11,,,,,
CR Contrôle  sexe,1,19,,c,CRSEXE,had,rpss_ano,11,,,,,
CR Contrôle n° d'identification administratif de séjour,1,20,,c,CRNODA,had,rpss_ano,11,,,,,
N° anonyme,17,21,,c,NOANON,had,rpss_ano,11,,,,,
N° d'identification administratif de séjour,20,38,,c,NODA,had,rpss_ano,11,,,,,
CR Contrôle code grand regime,1,58,,c,CRCODEGR,had,rpss_ano,11,,,,,
CR Contrôle code justification d'exoneration du ticket moderateur,1,59,,c,CREXTICM,had,rpss_ano,11,,,,,
CR Contrôle code de prise en charge du forfait journalier,1,60,,c,CRPRFOJO,had,rpss_ano,11,,,,,
CR Contrôle nature d'assurance,1,61,,c,CRNATASS,had,rpss_ano,11,,,,,
CR Contrôle type de contrat souscritupres d'un organisme complementaire,1,62,,c,CRTYPECONT,had,rpss_ano,11,,,,,
CR Contrôle sejour facturable à l'assurance maladie,1,63,,c,CRFACTAM,had,rpss_ano,11,,,,,
CR Contrôle motif de la non facturation à l'assurance maladie,1,64,,c,CRNFACAM,had,rpss_ano,11,,,,,
CR Contrôle facturation du 18 euro,1,65,,c,CRTOP18,had,rpss_ano,11,,,,,
CR Contrôle nombre de venues de la facture,1,66,,c,CRNBEVEN,had,rpss_ano,11,,,,,
CR Contrôle montant à facturer au titre du ticket moderateur,1,67,,c,CRTICMOD,had,rpss_ano,11,,,,,
CR Contrôle montant à facturer au titre du forfait journalier,1,68,,c,CRFORJOU,had,rpss_ano,11,,,,,
CR Contrôle montant total du sejour rembourse par l'assurance maladie,1,69,,c,CRFACTOT,had,rpss_ano,11,,,,,
CR Contrôle montant lie à la majorationu parcours de soin,1,70,,c,CRMAJPAR,had,rpss_ano,11,,,,,
CR Contrôle montant base remboursement,1,71,,c,CRMTBASERM,had,rpss_ano,11,,,,,
CR Contrôle taux de remboursement,1,72,,c,CRTXRM,had,rpss_ano,11,,,,,
CR Contrôle Patient beneficiaire de la CMU,1,73,,c,CRPBCMU,had,rpss_ano,11,,,,,
CR Contrôle N°dministratif de sejour de la mêre,1,74,,c,CRNOANOMER,had,rpss_ano,11,,,,,
CR Contrôle Hospitalisation dun nouveau-né auprès de la mêre,1,75,,c,CRHOSPNE,had,rpss_ano,11,,,,,
CR Contrôle Hospitalisation pour prelevement dorgane,1,76,,c,CRHOSPPO,had,rpss_ano,11,,,,,
Code grand regime,2,77,,c,CODEGR,had,rpss_ano,11,,,,,
Code justification díexoneration du ticket moderateur,1,79,,c,CDEXTICM,had,rpss_ano,11,,,,,
Code de prise en charge du forfait journalier,1,80,,c,CDPRFOJO,had,rpss_ano,11,,,,,
Nature d'assurance,2,81,,c,NATASS,had,rpss_ano,11,,,,,
Type de contrat souscrit auprès d'un organisme complémentaire,2,83,,c,TYPECONT,had,rpss_ano,11,,,,,
Séjour facturable à l'assurance maladie,1,85,,c,FACTAM,had,rpss_ano,11,,,,,
Motif de la non facturation à l'assurance maladie,1,86,,c,MOTNFAC,had,rpss_ano,11,,,,,
Facturation du 18€,1,87,,c,FAC18,had,rpss_ano,11,,,,,
Nombre de venues de la facture,4,88,,i,NBEVEN,had,rpss_ano,11,,,,,
Montant à facturer au titre du ticket moderateur,10,92,,n,MTFACTMO,had,rpss_ano,11,,,,,
Montant à facturer au titre du forfait journalier,10,102,,n,MTFORJOU,had,rpss_ano,11,,,,,
Montant total du sejour rembourse par l'assurance maladie,10,112,,n,MTFACTOT,had,rpss_ano,11,,,,,
Montant lie à la majoration au parcours de soins,4,122,,n,MTMAJPAR,had,rpss_ano,11,,,,,
Montant base remboursement,10,126,,n,MTBASERM,had,rpss_ano,11,,,,,
Taux de remboursement,5,136,,n,TAUXRM,had,rpss_ano,11,,,,,
Patient beneficiaire de la CMU,1,141,,c,PBCMU,had,rpss_ano,11,,,,,
N° administratif de sejour de la mêre,20,142,,c,NOANOMER,had,rpss_ano,11,,,,,
Hospitalisation d un nouveau-né auprès de la mêre,1,162,,c,HOSPNE,had,rpss_ano,11,,,,,
Hospitalisation pour PO,1,163,,c,HOSPPO,had,rpss_ano,11,,,,,
N° Finess de l'établissement,9,1,,c,NOFINESS,had,rapss,12,,,,,
N° de version du RAPSS,3,10,,c,NOVRAPSS,had,rapss,12,,,,,
N° Finess géographique,9,13,,c,NOFINESS_GEO,had,rapss,12,,,,,
N° séjour HAD,5,22,,c,NOSEQSEJ,had,rapss,12,,,,,
Âge en années,3,27,,i,AGEAN,had,rapss,12,,,,,
Âge en jours,3,30,,i,AGEJR,had,rapss,12,,,,,
Sexe,1,33,,c,SEXE,had,rapss,12,,,,,
Code géographique,5,34,,c,CDGEO,had,rapss,12,,,,,
Type de domicile,1,39,,c,TYPDOM,had,rapss,12,,,,,
N° Finess ESMS,9,40,,c,NOFINESS_ESMS,had,rapss,12,,,,,
Durée de séjour,4,49,,i,DUREESEJ,had,rapss,12,,,,,
Mode d'entrée,1,53,,c,MODE_ENTREE,had,rapss,12,,,,,
Provenance,1,54,,c,PROVENANCE,had,rapss,12,,,,,
Mode de sortie,1,55,,c,MODE_SORTIE,had,rapss,12,,,,,
Destination,1,56,,c,DESTINATION,had,rapss,12,,,,,
Mois de sortie du séjour,2,57,,c,MOISSOR_SEJ,had,rapss,12,,,,,
Année de sortie du séjour,4,59,,c,ANSOR_SEJ,had,rapss,12,,,,,
N° de séquence,4,63,,c,NOSEQ,had,rapss,12,,,,,
Nombre de jours depuis le début de la séquence,4,67,,i,NB_JR_DB_SEQ,had,rapss,12,,,,,
Durée de la séquence,4,71,,i,DUREE_SEQ,had,rapss,12,,,,,
Flag Dernière séquence,1,75,,c,DERNIERE_SEQ,had,rapss,12,,,,,
Mois de fin de la séquence,2,76,,c,MOIS_FIN_SEQ,had,rapss,12,,,,,
Année de fin de la séquence,4,78,,c,AN_FIN_SEQ,had,rapss,12,,,,,
Mode de prise en charge principal,2,82,,c,MPP,had,rapss,12,,,,,
Mode de prise en charge associé,2,84,,c,MPA,had,rapss,12,,,,,
Mode de prise en charge associé documentaire 1,2,86,,c,MPCAD1,had,rapss,12,,,,,
Mode de prise en charge associé documentaire 2,2,88,,c,MPCAD2,had,rapss,12,,,,,
Mode de prise en charge associé documentaire 3,2,90,,c,MPCAD3,had,rapss,12,,,,,
Mode de prise en charge associé documentaire 4,2,92,,c,MPCAD4,had,rapss,12,,,,,
Mode de prise en charge associé documentaire 5,2,94,,c,MPCAD5,had,rapss,12,,,,,
Indice de Karnofsky,3,96,,c,IK,had,rapss,12,,,,,
,5,99,,c,FILLER,had,rapss,12,,,,,
Confirmation de codage du RPSS,1,104,,c,CF_CODAGE,had,rapss,12,,,,,
Nombre de diagnostics du MPP,1,105,,i,NBDIAGMPP,had,rapss,12,,,,,
Nombre de diagnostics du MPA,1,106,,i,NBDIAGMPA,had,rapss,12,,,,,
Nombre de diagnostics associés,2,107,,i,NBDA,had,rapss,12,,,,,
Dépendance Habillage,1,109,,c,HABILLAGE,had,rapss,12,,,,,
Dépendance Locomotion,1,110,,c,LOCOMOT,had,rapss,12,,,,,
Dépendance Alimentation,1,111,,c,ALIMENT,had,rapss,12,,,,,
Dépendance Continence,1,112,,c,CONTINENCE,had,rapss,12,,,,,
Dépendance Comportement,1,113,,c,COMPORTEMENT,had,rapss,12,,,,,
Dépendance Relation,1,114,,c,RELATION,had,rapss,12,,,,,
N° de sous-séquence,4,115,,c,NOSOUSSEQ,had,rapss,12,,,,,
Mois de fin de la sous-séquence,2,119,,c,MOIS_FIN_SS_SEQ,had,rapss,12,,,,,
Année de fin de la sous-séquence,4,121,,c,AN_FIN_SS_SEQ,had,rapss,12,,,,,
Nombre de journées depuis le début de la sous-séquence,4,125,,i,NB_JR_DB_SS_SEQ,had,rapss,12,,,,,
Durée de la sous-séquence,4,129,,i,DUREE_SS_SEQ,had,rapss,12,,,,,
Flag Dernière sous-séquence de la séquence,1,133,,c,DER_SS_SEQ,had,rapss,12,,,,,
Flag dernière sous-séquence du séjour,1,134,,c,DER_SS_SEQ_SEJ,had,rapss,12,,,,,
Nombre d'actes du séjour,3,135,,i,NBZA,had,rapss,12,,,,,
,,138,,c,Z,had,rapss,12,,,,,
N° FINESS de l'entité juridique,9,1,9,c,NOFINESS,had,rapss_ano,12,,,,,
N° FINESS de l'établissement (code géographique),9,10,18,c,NOFINESS_GEO,had,rapss_ano,12,,,,,
N° format,3,19,21,c,NOFORMAT,had,rapss_ano,12,,,,,
N° format VID-HOSP,3,22,24,c,NOFORMHOSP,had,rapss_ano,12,,,,,
Mois de sortie,2,25,26,c,MOISSOR,had,rapss_ano,12,,,,,
Année de sortie,4,27,30,c,ANSOR,had,rapss_ano,12,,,,,
Code retour contrôle « n° immatriculation assuré  »,1,31,31,c,CRSECU,had,rapss_ano,12,,,,,
Code retour contrôle « date de  naissance »,1,32,32,c,CRDNAI,had,rapss_ano,12,,,,,
Code retour contrôle « sexe »,1,33,33,c,CRSEXE,had,rapss_ano,12,,,,,
Code retour contrôle « n° d’identification administratif de séjour »,1,34,34,c,CRNODA,had,rapss_ano,12,,,,,
Code retour « fusion ANO-HOSP et HOSP-PMSI »,1,35,35,c,CRFUSHOSP,had,rapss_ano,12,,,,,
Code retour « fusion ANO-PMSI et fichier PMSI »,1,36,36,c,CRFUSPMSI,had,rapss_ano,12,,,,,
Code retour contrôle « date de référence» (date d’entrée),1,37,37,c,CRDTENT,had,rapss_ano,12,,,,,
N° anonyme,17,38,54,c,NOANON,had,rapss_ano,12,,,,,
N° de séjour,5,55,59,i,NOSEJ,had,rapss_ano,12,,,,,
N° séquentiel de séjour HAD/Numéro séquentiel d'entrée,5,60,64,c,NOSEQSEJ,had,rapss_ano,12,,,,,
Date d'entrée,8,65,72,c,DTENT,had,rapss_ano,12,,,,,
Date de sortie,8,73,80,c,DTSOR,had,rapss_ano,12,,,,,
Code retour contrôle « code grand régime »,1,81,81,c,CRCODEGR,had,rapss_ano,12,,,,,
Code retour contrôle « code justification d’exonération du ticket modérateur »,1,82,82,c,CREXTICM,had,rapss_ano,12,,,,,
Code retour contrôle « code de prise en charge du forfait journalier »,1,83,83,c,CRPRFOJO,had,rapss_ano,12,,,,,
Code retour contrôle « nature d’assurance »,1,84,84,c,CRNATASS,had,rapss_ano,12,,,,,
Code retour contrôle « type de contrat souscrit auprès d'un organisme complémentaire »,1,85,85,c,CRTYPECO,had,rapss_ano,12,,,,,
Code retour contrôle « séjour facturable à l’assurance maladie »,1,86,86,c,CRFACTAM,had,rapss_ano,12,,,,,
Code retour contrôle « motif de la non facturation à l'assurance maladie »,1,87,87,c,CRMOTNOFACT,had,rapss_ano,12,,,,,
Code retour contrôle « facturation du 18 euro »,1,88,88,c,CRTOP18,had,rapss_ano,12,,,,,
Code retour contrôle « nombre de venues de la facture »,1,89,89,c,CRNBEVEN,had,rapss_ano,12,,,,,
Code retour contrôle « montant à facturer au titre du ticket modérateur»,1,90,90,c,CRTICMOD,had,rapss_ano,12,,,,,
Code retour contrôle « montant à facturer au titre du forfait journalier »,1,91,91,c,CRFORJOU,had,rapss_ano,12,,,,,
Code retour contrôle « montant total du séjour remboursé par l’assurance maladie (i.e. hors prestations annexes »),1,92,92,c,CRFACTOT,had,rapss_ano,12,,,,,
Code retour contrôle « montant lié à la majoration au parcours de soin »,1,93,93,c,CRMAJPAR,had,rapss_ano,12,,,,,
Code retour contrôle « montant base remboursement »,1,94,94,c,CRMTBASE,had,rapss_ano,12,,,,,
Code retour contrôle « taux de remboursement »,1,95,95,c,CRTXRM,had,rapss_ano,12,,,,,
Code retour contrôle « Patient bénéficiaire de la CMU »,1,96,96,c,CRPBCMU,had,rapss_ano,12,,,,,
Filler,4,97,100,c,Filler,had,rapss_ano,12,,,,,
Code retour contrôle « Montant total du séjour remboursable pour l'AMC »,1,101,101,c,CRRMBAMC,had,rapss_ano,12,,,,,
Code grand régime,2,102,103,c,CODEGR,had,rapss_ano,12,,,,,
Code justification d’exonération du ticket modérateur,1,104,104,c,JUSTICKMOD,had,rapss_ano,12,,,,,
Code de prise en charge du forfait journalier,1,105,105,c,CDPRFOJO,had,rapss_ano,12,,,,,
Nature d'assurance,2,106,107,c,NATASS,had,rapss_ano,12,,,,,
Type de contrat souscrit auprès d'un organisme complémentaire,2,108,109,c,TYPECONT,had,rapss_ano,12,,,,,
Séjour facturable à l’assurance maladie,1,110,110,c,FACTAM,had,rapss_ano,12,,,,,
Motif de la non facturation à l'assurance maladie,1,111,111,c,MOTNOFACT,had,rapss_ano,12,,,,,
Facturation du 18 euro,1,112,112,c,FACT18E,had,rapss_ano,12,,,,,
Nombre de venues de la facture,4,113,116,i,NBEVEN,had,rapss_ano,12,,,,,
Montant à facturer au titre du ticket modérateur,10,117,126,n,MTFACTMO,had,rapss_ano,12,,,,,
Montant à facturer au titre du forfait journalier,10,127,136,n,MTFORJOU,had,rapss_ano,12,,,,,
Montant total du séjour remboursé par l’assurance maladie (i.e. hors prestations annexes),10,137,146,n,MTFACTOT,had,rapss_ano,12,,,,,
Montant lié à la majoration au parcours de soins,4,147,150,n,MTMALPAR,had,rapss_ano,12,,,,,
Montant base remboursement,10,151,160,n,MTBASERM,had,rapss_ano,12,,,,,
Taux de remboursement,5,161,165,n,TAUXRM,had,rapss_ano,12,,,,,
Patient bénéficiaire de la CMU,1,166,166,c,PBCMU,had,rapss_ano,12,,,,,
Filler,42,167,208,c,Filler2,had,rapss_ano,12,,,,,
Montant total du séjour remboursable pour l'AMC,10,209,218,n,MTRMBAMC,had,rapss_ano,12,,,,,
N° FINESS e-PMSI,9,1,9,c,NOFINESS,had,rapss_med,12,,,,,
Type de prestation,2,10,11,c,TYPEPREST,had,rapss_med,12,,,,,
Année période,4,12,15,c,ANNEE,had,rapss_med,12,,,,,
N° période (mois),2,16,17,c,MOIS,had,rapss_med,12,,,,,
Numéro séquentiel de séjour d'HAD,5,18,22,c,NOSEQSEJ,had,rapss_med,12,,,,,
Numéro de la séquence dans le séjour,4,23,26,c,NOSEQ,had,rapss_med,12,,,,,
Numéro de sousséquence,4,27,30,c,NOSOUSSEQ,had,rapss_med,12,,,,,
Nombre de séjours impliqués,6,31,36,i,NBSEJ,had,rapss_med,12,,,,,
Code UCD,9,37,45,c,CDUCD,had,rapss_med,12,,,,,
Nombre administré éventuellement fractionnaire,10,46,55,n,NBADM,had,rapss_med,12,,,,,
Prix d'achat multiplié par le nombre administré,10,56,65,n,PRIX,had,rapss_med,12,,,,,
Mois de la date d'administration,2,66,67,c,MOISADMIN,had,rapss_med,12,,,,,
Année de la date d'administration,4,68,71,c,ANADMIN,had,rapss_med,12,,,,,
Délai entre la date d’entrée du séjour et la date de dispensation,4,72,75,i,DELAI,had,rapss_med,12,,,,,
Filler,31,76,106,c,Filler,had,rapss_med,12,,,,,
Signature de version,8,1,,c,SIGNATURE,had,rpss_ano,12,,,,,
Cle dintegrite,8,9,,c,CLE,had,rpss_ano,12,,,,,
N° format VID-HOSP,3,17,,c,FORMAT,had,rpss_ano,12,,,,,
CR Contrôle n° immatriculation assuré,1,20,,c,CRSECU,had,rpss_ano,12,,,,,
CR Contrôle date de naissance,1,21,,c,CRDNAI,had,rpss_ano,12,,,,,
CR Contrôle  sexe,1,22,,c,CRSEXE,had,rpss_ano,12,,,,,
CR Contrôle n° d'identification administratif de séjour,1,23,,c,CRNODA,had,rpss_ano,12,,,,,
N° anonyme,17,24,,c,NOANON,had,rpss_ano,12,,,,,
N° d'identification administratif de séjour,20,41,,c,NODA,had,rpss_ano,12,,,,,
CR Contrôle code grand regime,1,61,,c,CRCODEGR,had,rpss_ano,12,,,,,
CR Contrôle code justification d'exoneration du ticket moderateur,1,62,,c,CREXTICM,had,rpss_ano,12,,,,,
CR Contrôle code de prise en charge du forfait journalier,1,63,,c,CRPRFOJO,had,rpss_ano,12,,,,,
CR Contrôle nature d'assurance,1,64,,c,CRNATASS,had,rpss_ano,12,,,,,
CR Contrôle type de contrat souscritupres d'un organisme complementaire,1,65,,c,CRTYPECONT,had,rpss_ano,12,,,,,
CR Contrôle sejour facturable à l'assurance maladie,1,66,,c,CRFACTAM,had,rpss_ano,12,,,,,
CR Contrôle motif de la non facturation à l'assurance maladie,1,67,,c,CRNFACAM,had,rpss_ano,12,,,,,
CR Contrôle facturation du 18 euro,1,68,,c,CRTOP18,had,rpss_ano,12,,,,,
CR Contrôle nombre de venues de la facture,1,69,,c,CRNBEVEN,had,rpss_ano,12,,,,,
CR Contrôle montant à facturer au titre du ticket moderateur,1,70,,c,CRTICMOD,had,rpss_ano,12,,,,,
CR Contrôle montant à facturer au titre du forfait journalier,1,71,,c,CRFORJOU,had,rpss_ano,12,,,,,
CR Contrôle montant total du sejour rembourse par l'assurance maladie,1,72,,c,CRFACTOT,had,rpss_ano,12,,,,,
CR Contrôle montant lie à la majorationu parcours de soin,1,73,,c,CRMAJPAR,had,rpss_ano,12,,,,,
